,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r,l_ear_x,l_ear_y,l_ear_z,pitched_down
763,328.3555596927998,369.54702554352417,192.15465887045917,343.47670319896724,294.9877034495321,244.32868042642096,4.46872169066659,1.8224308680488364,290.0575635353529,297.95578118021757,233.5718305835016,0.0
764,328.3026203359107,370.11403807096036,192.78319545088547,343.6380070567197,295.36650453356947,244.64234098840808,4.474445572315045,1.8210504887456915,290.16867537004737,298.3653244486186,234.01175667865343,0.0
765,328.27341515702796,370.683603177825,193.40498484243875,343.80779104517217,295.75803433364007,244.8634667869277,4.476891216166509,1.8133597468310751,290.2636006821511,298.75995452207195,234.43112853143046,0.0
766,328.2540961611711,371.26184694335706,194.02931137706014,343.9541744394151,296.1037557899015,245.11165902463912,4.476409457139161,1.7998247222569579,290.3555622954077,299.1348249973927,234.83605537362286,0.0
767,328.2281585234518,371.8275320411443,194.6358454760475,344.1176571583838,296.43635230027536,245.3042123201906,4.473315442143627,1.778880918849936,290.44517096791583,299.4849378210184,235.21129301114706,0.0
768,328.21280540674536,372.3957585386514,195.24620588901828,344.2692892200688,296.7459608063315,245.48101638699794,4.468186578495754,1.7524353257477339,290.53398315176344,299.8195869378422,235.57459841813014,0.0
769,328.2027097066918,372.96233569794947,195.8337551361893,344.4412613278904,297.09284179815734,245.66225544798908,4.461883001348486,1.7233456666455462,290.61002784931213,300.1494605957105,235.91271900480794,0.0
770,328.18594588028486,373.4990847437472,196.3797708415082,344.6035425083944,297.41739535652107,245.83160001682015,4.455039302113084,1.6944903149954855,290.6969526094612,300.46751229325,236.22829494569524,0.0
771,328.18504625774324,374.0427143472004,196.91333857982275,344.7683102220064,297.70916893658546,246.00588851045458,4.448032292908881,1.6661349522423634,290.80304480292455,300.75038708903594,236.5293820889141,0.0
772,328.19125498955265,374.60937901007117,197.4160150064218,344.91661092338836,298.0080933064566,246.1756441690368,4.441144243591421,1.6407750474074192,290.9115349638618,301.0370863257447,236.81325064214246,0.0
773,328.20242123134153,375.1604626527252,197.91364939671928,345.0911069300722,298.29498390884896,246.37013864261291,4.434557404216588,1.6179972074371192,291.01693309471005,301.31821309003277,237.0739378475629,0.0
774,328.2236109622968,375.67437865935443,198.41039724651844,345.2677293966312,298.59248679691945,246.5623147123888,4.42898318467148,1.5991568227887107,291.1533429808914,301.622670108831,237.3207968801079,0.0
