,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r
1449,418.6016789421198,396.14482962657706,304.2563814230339,402.9216300611657,315.3661399814338,324.95652551210725,4.066137561847085,2.056990780725607
1450,419.04888779185313,396.0531822517865,303.8410595655155,403.2958499634751,315.3459967304986,324.59201949947374,4.067648746063466,2.0497194432183927
1451,419.4702804083767,395.96429801664516,303.4489221118486,403.64124378725313,315.31692257317616,324.2455030320904,4.077395634729647,2.037943266468323
1452,419.96005701975076,395.81907980260087,303.0361176715452,403.9396365058441,315.3087232080062,323.926203099213,4.095890551149301,2.021167032953716
1453,420.4220593879927,395.7069595104739,302.63929301659743,404.22521423095924,315.305569986371,323.6132781836304,4.123637721897559,1.9982790524988236
1454,420.8359124797482,395.55902028026753,302.29654551548106,404.5120566691173,315.2674916801702,323.3126272659706,4.159570038461318,1.9700609242669613
1455,421.24362907059646,395.3721888968438,301.9615686711075,404.7439563316913,315.2370019079162,323.09091479495845,4.2009386130833635,1.9369569880838449
1456,421.62372038842454,395.15312088327136,301.64413196866303,404.9802383393211,315.1501258322992,322.8849917533842,4.24531426894487,1.9009330673304503
1457,422.02461977778125,394.9454549054938,301.32635557720926,405.21307502660056,315.0681023279758,322.6936883537263,4.29061770008802,1.8636448945934323
1458,422.47459419359603,394.727895470423,301.0303401442404,405.4719849233519,314.88273567774326,322.5126411903355,4.335176127391051,1.828585671655825
1459,422.9226064190065,394.5657513797892,300.7637219653654,405.71711209600466,314.7174441008105,322.3468212276253,4.37590933810536,1.7976469862537046
1460,423.4163438715212,394.38660556055083,300.52235680296513,405.8325134518225,314.59556877697435,322.15328331883705,4.412867322175643,1.7716031533874266
1461,423.94219505274003,394.1992995594998,300.3560894595325,405.95745390392057,314.44982437369066,321.9359880164612,4.445789905732076,1.7509975111111442
1462,424.45560263555694,394.0458641489638,300.1729668031991,406.1069263508383,314.30715244415256,321.73637471138306,4.473997390543775,1.735950342628144
1463,424.97737671281965,393.87910197446064,300.01314764631337,406.26052609851826,314.1804152418007,321.506739940548,4.49670740284723,1.7261550927383928
1464,425.5151850162874,393.71974717582833,299.8137061174135,406.4045635800733,314.08145764937365,321.31781210027884,4.515371754553843,1.7210412640123935
1465,426.02238890008164,393.5554799433293,299.6529546878309,406.5759678590973,314.0082501541702,321.12468756613856,4.5306685799799,1.7207877006849737
1466,426.51147385109255,393.42071223504536,299.44843981062536,406.78039107561546,313.94260773702,320.915371867483,4.541795776998072,1.7241058653996435
1467,426.9740633688782,393.27270799813607,299.2568953030205,407.0027785845069,313.90699164792994,320.6955417203921,4.548056488811883,1.7310738732521411
1468,427.4589290596468,393.1533671640313,299.08447870690213,407.2432450150776,313.8592759681963,320.45255419163635,4.550740488310137,1.740807291181999
1469,427.9516483468244,393.0450185330906,298.9282430488406,407.50586542918205,313.8177351041031,320.19559494958315,4.549784367598105,1.7521900901987777
1470,428.38736051475325,392.9256964053984,298.76703565599536,407.7747108762436,313.80572176823756,319.9372768505291,4.54462099426801,1.7648352460170897
1471,428.78272964128956,392.8562510647435,298.61311478480377,408.0576595421561,313.7816272312427,319.6556033784134,4.535990755369847,1.7783771561382755
1472,429.14792486874506,392.7876124614909,298.47577388051434,408.3463983912441,313.75681116725934,319.38362713175,4.525154047605237,1.7928359928797064
1473,429.47902351907163,392.7770268787195,298.2984379758449,408.65223363753483,313.7671717917979,319.1245845039793,4.511540196584766,1.808916133051824
1474,429.80444866112964,392.7436010265906,298.0753359149856,408.937167686418,313.8054647398617,318.84585601243737,4.496166820831928,1.8269081136074374
1475,430.07620028661825,392.72429398632545,297.8448907859188,409.2280587233407,313.8295894307745,318.5684262641431,4.477837796503629,1.8459388687609521
1476,430.3575472624224,392.6878342187563,297.5560154149181,409.48921229078303,313.83502618573107,318.278605313694,4.456125040433612,1.866428734293863
1477,430.6171720634912,392.64150676825227,297.2838091611658,409.74220576364115,313.83697927279036,317.98329020399495,4.431966089726819,1.8875952986269573
1478,430.84570541651135,392.56413670583055,296.95233800409375,409.9582695122929,313.8375079827519,317.6661910747319,4.405991699196411,1.9085565867815255
1479,431.019255032024,392.4535354886103,296.61041856832196,410.16173763512165,313.8652307937222,317.3466028020579,4.378121851663523,1.9289843864456753
1480,431.15457448163403,392.4359667251948,296.2461073490887,410.34598070824575,313.8916434969404,317.03224999408,4.350060625897415,1.9486902992264497
1481,431.25049957735985,392.4570826417795,295.9217783239402,410.5369635519737,313.944634208566,316.68596464457084,4.32361360158135,1.9675890097081028
1482,431.37572434070063,392.39661897366585,295.5191069581747,410.7215703255115,313.96075843346665,316.3270857538389,4.299170533940904,1.9852093248951919
1483,431.48125298814386,392.3088288807498,295.1083352047023,410.89915279829967,313.9638211598843,315.96075331174444,4.2767820903466305,2.0015075750440596
1484,431.5872377365032,392.20076290751683,294.5756683902065,411.0622067893331,314.02383528411457,315.58308934837066,4.256580053457499,2.017054226619251
1485,431.689471632596,392.12032836567715,293.98458070303843,411.2151435388976,314.0541999808102,315.1750729167841,4.239726525710676,2.0318289744286613
1486,431.808599050876,392.09906388650614,293.34921415465743,411.3573885668991,314.04222970610493,314.76931912181516,4.226114505630158,2.0456168306654443
1487,431.88708194592135,392.0503680484992,292.7070714881192,411.3868627192665,314.00499044463135,314.3551752581848,4.217662521272439,2.058848815016097
